title;body
"
Software Engineer Team Lead
";why vacasawe started with just one home and an idea: to bring homeowners and renters together with smart technology and caring local teams. today, we’re the largest full-service vacation rental company in the us thanks to the people who give us their best every day. you’ll fit right in here if you’re curious, collaborative, innovative, and thrive in a rapid-growth environment.do you want to be part of a team helping the largest vacation property management company in the us solve problems on a global scale? are you excited to explore the benefits of scalability and performance by leveraging modern, cloud-based technologies? at vacasa, we are constantly experimenting and fine-tuning our products. we value stability, security, and scalability. job functions as an engineering team lead, you will be accountable for the team’s output and growth. at vacasa, team leads manage engineers and are hands-on contributors, with varying percentage based on team’s needs. here’s some of what you will do with your team: help design and architect applications and services to support the business review your team’s work and provide recommendations via code reviews and discussion explore new technologies and validate concepts to help your team choose the right tool for the job utilize predominantly scrum methodology and ensure the team conducts the appropriate ceremonies drive accountability and quality of team deliverables ensure appropriate monitoring and instrumentation is implemented for production systems advocate for quality standards and work with your team to create robust testing capabilities what you’ll do as a leader work with your team to deliver robust products manage a team of software engineers and quality assurance engineers be an effective bridge between product and the rest of your team manage change and contingencies for your team with a product manager participate in and encourage collaborative conversations around problem-solving provide a productive outlook and ensure all voices are heard to shape your team’s culture provide guidance and mentorship to other software engineers on your team handle disputes and debates fairly and provide timely and direct feedback to all team members foster a tech culture where you lead by example qualifications and requirements extensive experience working on software projects with a cross-functional team english advance (lead meetings with u.s. teams) adept at facilitating technical discussions that lead to informed decisions proficient at two or more programming languages experience writing infrastructure as code strong working knowledge of databases (sql & nosql) experience or enthusiasm to mentor engineers demonstrable experience delivering software products used in real-world environments desirable skills completed a b.s./m.s. in computer science (or equivalent work experience) experience working with cloud computing platforms, specifically aws experience in the hospitality or travel industry experience building serverless systems conditions open to remote work (within chile) extended health benefits! above legal vacations and time-off benefits. great saving plan benefits (apv) career plan annual bonus courses and certifications all of the equipment you’ll need to be successful great team environment! pet-friendly pets are welcome at the premises. life insurance vacasa pays or copays life insurance for employees. bicycle parking you can park your bicycle for free inside the premises. health coverage vacasa pays or copays health insurance for employees. computer repairs vacasa covers some computer repair expenses. dental insurance vacasa pays or copays dental insurance for employees. computer provided vacasa provides a computer for your work. informal dress code no dress code is enforced. vacation over legal vacasa gives you paid vacations over the legal minimum. beverages and snacks vacasa offers beverages and snacks for free consumption. remote work policy locally remote only position is 100% remote, but candidates must reside in chile.
"
Full-Stack Developer
";fulltimeforce es una empresa peruana dedicada al desarrollo de software y a brindar equipos de trabajo altamente calificados al mercado it norteamericano con el fin de impulsar su crecimiento organizacional. buscamos ser una empresa latinoamericana que se caracterice por tener un personal comprometido con la calidad de su trabajo, aplicando metodologías que garanticen una alta satisfacción de nuestros clientes. nuestra cultura se basa en el compañerismo entre equipos, los cuales se orientan al éxito y están compuestos por colaboradores altamente motivados a crecer profesionalmente. asimismo, buscamos fomentar un ambiente de trabajo agradable con una comunicación interna horizontal y transparente en todo momento.¡postula y sé parte de la experiencia fulltimeforce! funciones del cargo 📌 programar de acuerdo a las necesidades y requerimientos establecidos dentro de los diversos proyectos a desarrollar en nuestra área de innovación. 📌 participar y dar soluciones innovadoras como parte del desarrollo de proyectos elaborados en base a tecnologías frontend y backend.📌 aprender y aplicar nuevas tecnologías dentro del desarrollo de distintos softwares.📌 documentar la información pertinente relacionada al despliegue del proyecto📌 posteriormente, tendrás la oportunidad de colaborar junto a un equipo multicultural en proyectos para nuestros clientes norteamericanos. requerimientos del cargo ⭐️nivel avanzado del idioma inglés (c1: writing/speaking/reading) ⭐️nivel intermedio en node.js, react.js y javascript⭐️nivel intermedio en rest apis y bases de datos no relacionales⭐️nivel básico en typescript, redux y sagas beneficios oportunidad de trabajar junto a clientes extranjeros 🌍 proyectos retadores y uso de tecnologías a la vanguardia 🤓 home office 🏠 acceso ilimitado a udemy 👨‍💻 genial ambiente laboral 😎 flexibilidad horaria ⏰ salarios atractivos acordes al mercado 💸 fully remote you can work from anywhere in the world. flexible hours flexible schedule and freedom for attending family needs or personal errands. informal dress code no dress code is enforced. remote work policy fully remote candidates can reside anywhere in the world.
"
Front-end Engineer for USA Project
";clickit: devops and software development is an agency who has developed cloud based solutions for almost 10 years, for customers from all around the world. our core competencies are financial services, healthcare, martech, ecommerce, big data & analytics and our experience comes with startups and mid-large enterprises. we are aws and gcp certified partners with the experience of helping more than 200 product and service-centric companies based out of the us with their cloud migration and devops initiatives. this position its to be part of our team. job functions we are looking for a front end engineer to join the team . we are on a mission to build vertical saas companies in areas as diverse as equipment rentals to healthcare to investment software. to do this, we need someone with a strong technical background to work directly with the cto and product owner in enabling this vision to come true.the developer tasks on this project will be adapting the frameworks already made for the application, as well as working with the back end engineer to adapt the functions planned for it.the engineer will also contribute with optimization of the code using mainly react and material ui. qualifications and requirements 2+ years of professional experience in the software industryexpertise with react.js or similar javascript frameworkexperience with material uiexperience consuming rest api and building elegant ui with at least some complex functionalitystrong experience with css and preferably with bootstrap or tailwind cssstrong communication skills in english desirable skills docker and docker compose, aws, ec2 and rds conditions fully remote you can work from anywhere in the world. remote work policy fully remote candidates can reside anywhere in the world.
"
Senior Back-end Developer
";"webdox es un software que resuelve los desafíos asociados al manejo eficiente de los contratos en grandes empresas. presente en 7 países de latinoamérica, webdox brinda soluciones tecnológicas para la solicitud, redacción, colaboración, negociación, firma y seguimiento de los contratos de sus clientes corporativos y multinacionales, muchos de ellos empresas global fortune 500.estamos buscando a un product designer que se enfoque en la experiencia en los flujos de valor de webdox para las personas que confían en nosotros. estamos creciendo y entendiendo cada día más a nuestros clientes, lo que significa que el desafío de mejorar y entregar un producto de calidad es nuestra prioridad.no buscamos encasillar las virtudes o aptitudes referentes a un rol específico, por lo contrario, queremos que tu participación colabore con el equipo de producto en cada parte del proceso de diseño. el pensamiento distribuido es nuestra forma de encontrar los problemas y solucionarlos. funciones del cargo desarrollar aplicaciones complejas y que entienda profundamente las diferentes arquitecturas y patrones para construir apps. asegurar que el código sea de buena calidad siguiendo estándares de clase mundial. impulsar desde su experiencia, mejoras tecnológicas. participar de forma transversal en el centro en el soporte al usuario para resolución de problemas, mejoras y optimizaciones a los flujos relacionados a la usabilidad. análisis y definición de requerimientos para miembros del equipo con perfil junior. requerimientos del cargo webdox es una solución dirigida a empresas y oficinas de abogados que agiliza la búsqueda, creación y administración de todo tipo de documentos legales.webdox está buscando un nuevo integrante ¡backend! para nuestros desafíos de desarrollo web. lo que estamos construyendo es de un gran nivel y plantea muchos desafíos interesantes para cualquier desarrollador. si cumples con el siguiente perfil: ruby on rails: debes dominar a la perfección ruby y su framework (rails). (necesario para postular) javascript: no sólo debes saber lo mínimo para validar formularios, sino que debes manejar las particularidades del lenguajes conoces al menos un framework del lado del navegador como angular y/o react.js. entiendes http mucho más allá de ""oye, 'llama' a esta url"". sabes de métodos, cabeceras y la filosofía rest. finalmente, tienes una buena base en css/html que te permite interactuar de buena manera con los diseñadores y no resuelves cada problema a punta de ""!important"" ;) autonomía. te sientes plenamente capaz desarrollar y sacar adelante una tarea. y por cierto ¿eres autodisciplinado?, trabajas sin necesidad de presiones externas y gestionas tu tiempo con eficiencia. preocupación por la ux (experiencia de usuario). no tienes que ser experto diseñando experiencias, pero debes preocuparte por tu usuario y saber apoyarte en los equipos de ux cuando es necesario. y por sobre todo no confundir ""diseño"" con “maquillaje"". pragmatismo. aunque tengas un corazón perfeccionista, sabes también que el mundo está lleno de ""trade-offs"" y puedes balancearlos para llegar a buenos resultados. ¡ojo, que eso no significa programar al lote! por el contrario, sabes que a veces hay que ir lento para poder terminar antes. te comunicas bien. tienes excelente ortografía y redacción, tienes facilidad para enseñar y para explicar en simple lo que podría parecer complicado. beneficios en webdox nos preocupamos mucho de la felicidad del equipo. si trabajas aquí, esto es parte de lo que te ofrecemos: el día libre en tu cumpleaños desafios. nunca te aburrirás. un equipo de mujeres y hombres talentosos, con muy buen humor, mucho respeto y disposición. oficina increíblemente bien ubicada, en metro tobalaba. te ofrecemos un sueldo de mercado y variara según tus capacidades. fully remote you can work from anywhere in the world. pet-friendly pets are welcome at the premises. flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage webdox pays or copays health insurance for employees. computer provided webdox provides a computer for your work. informal dress code no dress code is enforced. vacation over legal webdox gives you paid vacations over the legal minimum. remote work policy fully remote candidates can reside anywhere in the world."
"
Desarrollador Back-end
";te invitamos a trabajar y disfrutar el desafío de crecer en falabella financiero, filial del grupo falabella, compañía con más de 125 años de trayectoria, conformada por cmr falabella, banco falabella y seguros falabella, con presencia en chile, argentina, perú, colombia y méxico.en #falabellafinanciero tenemos la misión de hacer posible las aspiraciones de las personas, mejorar su calidad de vida y superar sus expectativas a través de una oferta integrada de servicios, potenciada por los beneficios del mundo falabella. es un lugar lleno de oportunidades de desarrollo, donde te encontrarás con numerosas oportunidades de movilidad interna. aquí lo pasamos bien, en un ambiente dinámico y entretenido. en esta empresa te ofrecemos un espacio donde podrás hacer y proponer, emprender e innovar, poniendo la mejor tecnología al servicio de ideas que te permitan alcanzar metas cada vez más grandes y complejas… dicho en simple ¡en este lugar tus ideas importan! funciones del cargo desarrollar y poner en producción las soluciones previamente generadas. participar de las ceremonias del equipo de desarrollo. generar y compartir conocimiento para su equipo y organización. trabajar en equipo y en conjunto con otros. participar de la estimación y refinamiento de necesidades de nuestros clientes. proponer soluciones creativas e innovadoras a los problemas presentados. requerimientos del cargo conocimiento de javascript. tener experiencia con el framework express para node js. buen entendimiento de programación asíncrona(callbacks, promesas). conocimiento de mocha, chai, sinon para pruebas unitarias. experiencia con bases de datos relacionales (mysql, postgresql, mariadb, sqlite). bases de datos no relacionales. experiencia con docker swarn (excluyente). manejo de git para ci-cd. experiencia en test unitarios (excluyente). entendimiento arquitectura de microservicios. entendimiento comunicación http y comunicación entre apis (rest, restful). sería genial que... tengas experiencia o conocimiento de docker (containers, imágenes, etc). siendo parte de nuestro equipo contarás con: 5 días libres al año más 1 tarde #gennial al mes.- trabajo 100% remoto y horario flexible.- hasta 2 meses de permiso sin goce de sueldo para proyectos personales: estudiar, descansar ¡o lo que quieras!- oportunidades para que tú seas protagonista de tu desarrollo, con becas de estudio, capacitaciones y mucho más.- un excelente ambiente laboral ¡podrás vivir una gran experiencia!- ser parte de una de las empresas más grandes de latinoamérica, competitiva y llena de energía.- ¡y muchos otros beneficios para vivir una gran experiencia junto a nosotros/as! flexible hours flexible schedule and freedom for attending family needs or personal errands. internal talks falabella financiero offers space for internal talks or presentations during working hours. health coverage falabella financiero pays or copays health insurance for employees. computer repairs falabella financiero covers some computer repair expenses. dental insurance falabella financiero pays or copays dental insurance for employees. computer provided falabella financiero provides a computer for your work. education stipend falabella financiero covers some educational expenses related to the position. fitness subsidies falabella financiero offers stipends for sports or fitness programs. performance bonus extra compensation is offered upon meeting performance goals. informal dress code no dress code is enforced. recreational areas space for games or sports. shopping discounts falabella financiero provides some discounts or deals in certain stores. beverages and snacks falabella financiero offers beverages and snacks for free consumption. vacation on birthday your birthday counts as an extra day of vacation. parental leave over legal falabella financiero offers paid parental leave over the legal minimum. remote work policy locally remote only position is 100% remote, but candidates must reside in chile.
"
Python Developer Semi Senior
";this job is posted by clickit smart technologies on behalf of alight analytics clickit: devops and software development is an agency who has developed cloud based solutions for almost 10 years, for customers from all around the world. our core competencies are financial services, healthcare, martech, ecommerce, big data & analytics and our experience comes with startups and mid-large enterprises. we are aws and gcp certified partners with the experience of helping more than 200 product and service-centric companies based out of the us with their cloud migration and devops initiatives. this position its to be part of our team.clickit is looking for python developers who can join into the team of alight analytics. alight analytics delivers next-generation analytics solutions designed for every marketer. combining the speed of software with the flexibility and expertise of consulting, alight’s solution suite puts relevant and actionable insight directly into the marketer’s hands - without requiring advanced data expertise. job functions as a python developer, you will be in charge of: lead the building of new products. you will build consumer-facing web applications, including frontend / ui, backend business logic, and data management. take responsibility for the full software development cycle. you will be responsible for designing, architecting, developing, monitoring/maintaining services. develop internal tools. you will increase the team’s technological advantage by developing internal tools to create, deploy, and maintain high-quality computerized adaptive assessments. qualifications and requirements 3+ years of experience developing software applications for the web. mastery of computer science (cs) foundations, including data structures, algorithms, os, computer networks, databases, unix, and application servers. 3+ years of experience developing applications with python. experience with modern, high-level web frameworks and orms. django experience is preferred but not absolutely required. 3+ years of experience with modern javascript frameworks such as vue.js and react.js. desirable skills experience with cloud technologies such as aws, gcp, or azure. experience as an automation/devops engineer working with docker, ci/cd or kubernetes. conditions fully remote you can work from anywhere in the world. remote work policy fully remote candidates can reside anywhere in the world.
"
Desarrollador Front-end
";scharfsteinlabs es la incubadora de innovación de scharfstein, compañía líder en el mercado de tecnología de parking, seguridad y telecomunicaciones. nuestra misión es crear la próxima generación de soluciones de software que revolucionen el mercado del property-tech facilitando la vida de nuestros usuarios a través de aplicaciones simples, escalables e intuitivas. diseñamos software utilizando las últimas tendencias en internet de las cosas, cloud-edge computing e inteligencia artificial, participando de un equipo joven, multidisciplinario, dinámico, enfocado en desarrollar de manera ágil nuevas soluciones a nuestros usuarios para ser líderes en la industria.si eres una maquina desarrollando, inquieto y te gusta aprender en la frontera de la tecnología, te invitamos a ser parte de este selecto equipo dónde tus opiniones importan y con posibilidades de crecimiento. juntamos la estabilidad de una empresa bien establecida, con la innovación, agilidad y buen ambiente del mundo startup funciones del cargo diseñar y desarrollar sistemas pensando siempre en la escalabilidad. mantener un enfoque mvp para el desarrollo. aplicar y diseñar interfaces con foco en el ux. trabajarás desarrollando aplicaciones web o híbridas en ionic. mantener al día el repositorio de código que se le asigna a tu proyecto. desplegar, ambientar e instalar todo lo necesario para que tu software funcione correctamente. desarrollar software de alta calidad ayudar y dar soporte de nuestros proyectos. trabajarás en conjunto con los diseñadores, jefes de proyectos y cto. requerimientos del cargo experiencia construyendo y siguiendo especificaciones en mockups y wireframes conocimientos en angular 8 y ionic 4 desplegar y dar soporte a los proyectos que estes involucrado cumplir los estándares de programación establecidos por la empresa. documentar tu código y soluciones. tener conocimiento en consumo de apis rest y uso de las herramientas como postman. manejar el versionado de los proyectos desarrollados: git, gitlab, etc. generación de apk e ipa y apoyo en pasos a producción de los diferentes reportarás directamente al jefe del proyecto y cto. cumplir con las metas asignadas por el cto y jefe de proyectos. trabajar en equipo, tanto para entregar conocimiento como para solicitar ayuda. opcionales se considerará como un plus tener conocimiento de: frameworks backend laravel, nodejs y java springboot android e ios nativo (swift, java, kotlin) android e ios híbrido (react native, flutter) iot, sensores, arduino/linkitone, raspberrypi tener conocimiento en contenedores dockers u otros. manejo del inglés condiciones 📝 estabilidad laboral 🚑 seguro complementario 🤙🏼 excelente ambiente 🎂 ¡día libre y regalo por tu cumpleaños! 💰 aguinaldos por fiestas patrias y navidad 🍪 ☕ galletas y café starbucks 🎉 eventos ¡ para nosotros, es importante compartir y disfrutar! 👖 vestimenta informal partially remote you can work from your home some days a week. health coverage scharfsteinlabs pays or copays health insurance for employees. computer provided scharfsteinlabs provides a computer for your work. informal dress code no dress code is enforced. beverages and snacks scharfsteinlabs offers beverages and snacks for free consumption. remote work policy temporarily remote during covid-19 position is remote only during covid-19-related restrictions.
"
Front-end Software Engineer
";initialized capital, an early-stage venture capital firm with over $1b under management, is looking for a full-time remote front end software engineer contractor. this role will report to the lead software engineer and will focus on the web and mobile web experience for the software that powers initialized’s investing, portfolio management, and marketing processes. they will work with a team of other remote engineers, ship front end features regularly, participate in technical discussions and planning, and inform technical decisions and best practice guidance. the team practices the agile scrum methodology, including daily standups, sprint planning, and team retrospectives. job functions as a member of the team, you’ll be responsible for maintaining and building out our react component library, used in our various in-house applications. you will work closely with a small distributed team of full-stack developers focused on adding new features to our new and existing software, while maintaining and improving the quality along the way. qualifications and requirements 2+ years of front end development experience 1+ years of react.js 16.8+ experience conversational english proficiency proficiency in the following technologies: react.js 16.8+ ( hooks ) modern javascript ( es6 ) consuming rest apis css/html desirable skills typescript graphql redux and legacy react applications back end experience ( such as node.js, next.js, or ruby on rails ) conditions flexible hours flexible schedule and freedom for attending family needs or personal errands. informal dress code no dress code is enforced. remote work policy locally remote only position is 100% remote, but candidates must reside in mexico.
"
Programador CakePHP PHP
";en san cirilo trabajamos para poder competir de igual a igual con las grandes empresas que ofrecen ecommerce, entregando un servicio integral al cliente para mejorar la experiencia de sus clientes al momento de comprar en lineas. nuestra modalidad de trabajo es 100% remota. utilizamos metodologias agiles y no todos nuestros desarrollos son propios, para mejorar el servicio que le entregamos a nuestros clientes en modalidad sassla omnicanalidad, la multicanalidad y la escalabilidad son lo que nos motiva funciones trabajaras en el área de desarrollo de la empresa, implementando nuevas funcionalidades, integraciones a otros sistemas y mejoras continuas de performance y usabilidad de nuestro sistema de ecommerce, el cual se ofrece como servicio a varios clientes.además empezaras a trabajar en el desarrollo de una nueva versión de nuestro sistema, orientada 100% a la nube y con la omnicanalidad y multicanalidad conocimientos requeridos debes tener experiencia en el desarrollo de aplicaciones con php ( mvc) y saber de javascript (jquery), base de datos mysql ( aurora), y saber utilizar git para el manejo de versiones de la aplicación. además tener ganas de aprender sobre lo que no sabes y te podemos enseñar conocimientos deseables -cakephp o framework similar-amazon aws ( ec2, aurora, ses, s3, cloudfront, route53, etc)-experiencia en ecommerce b2b o b2c-experiencia integracion market place o couriers condiciones de trabajo somos una empresa pequeña, pero que esta en vía de crecimiento. el trabajo es 100% remoto y no tenemos problemas con que algún día debas trabajar en otro horario por algún motivo personal o de estudios. creemos en la flexibilidad laboral y el cumplimiento de metasviernes se trabaja hasta el medio día. pet-friendly pets are welcome at the premises. flexible hours flexible schedule and freedom for attending family needs or personal errands. speaker travel if you speak at a conference, san cirilo will cover your expenses. performance bonus extra compensation is offered upon meeting performance goals. informal dress code no dress code is enforced. vacation on birthday your birthday counts as an extra day of vacation. remote work policy locally remote only position is 100% remote, but candidates must reside in chile.
"
Full-Stack Developer
";this job is posted by ripley on behalf of banco r quieres ser parte de una de las empresas líderes del retail financiero?¡te invitamos a unirte a nuestro gran equipo de trabajo en banco ripley!banco ripley, es uno de los agentes principales del retail financiero, con presencia en chile y perú más de 45 sucursales divididas en territorio nacional, categorizada dentro de las mejores empresas para trabajar en chile, según el gptw 2019.#li-dni funciones del cargo la misión de esta persona es participar del proceso de programación e implementación de componentes o subconjuntos de software para ser integrados en aplicaciones (conforme a especificaciones funcionales y técnicas). además, es responsable del ciclo de vida de aplicaciones (concepto, diseño, desarrollo, implementación, prueba y soporte).quien ocupe el rol de full stack developer debe ajustarse a los tiempos definidos, cumpliendo con los estandartes de calidad y trabajo de la organización y del proyecto, refinar especificaciones a fin de determinar un diseño detallado para implantar la funcionalidad requerida, apoyar en la solución de problemas en la plataforma.debe preocuparse por la revisión constante del código, buscando siempre la propuesta e implementación de mejoras, la solución de defectos, la investigación y puesta en práctica de nuevas tecnologías, requerimientos del cargo conocimientos· estudios de ingeniería informático/ en computación o similarexperiencia· 2 a 4 años de experiencia en arquitectura y desarrollo de software y aplicaciones.competencias relevantes· experiencia en programación, arquitectura y mejora de aplicaciones web y móviles.· lenguajes / marcos / tecnologías / arquitecturas: angular v6 en adelante, node.js, ionic, react js, react native, sql, amazon web services, restful services, javaspringboot. opcionales - es altamente autónomo/a en el manejo de sus tareas y de su proyecto - participa activamente en las definiciones de arquitectura y tecnología más allá de su equipo directo de trabajo. - actúa como líder dentro de su equipo de trabajo, colaborando con el desarrollo y crecimiento de sus pares con menos experiencia - es un gran jugador de equipo y tiene buena experiencia en framework de trabajo ágil - tiene una alta capacidad de entender y desarrollar en múltiples tecnologías - se mantiene siempre al día en las novedades e innovaciones del sector condiciones flexibilidad, herramientas para trabajar, teletrabajo, entre otros flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage banco r pays or copays health insurance for employees. computer provided banco r provides a computer for your work. informal dress code no dress code is enforced. vacation over legal banco r gives you paid vacations over the legal minimum. remote work policy locally remote only position is 100% remote, but candidates must reside in chile.
